repo_name,file_name,alert,commit,state,prev_count,cur_count,file
diofant/diofant,diofant/interactive/printing.py,simplifiable-if-expression,0d7a82b7a0d0fb9f27555dd6356e6e463608ab28,added,0,1,diofant/interactive/printing.py
diofant/diofant,diofant/interactive/printing.py,simplifiable-if-expression,5d04aace44cee50bb1fe1d02e3b866be8ffae7e8,removed,1,0,diofant/interactive/printing.py
PseudoTV/PseudoTV_Live,plugin.video.pseudotv.live/resources/lib/jsonrpc.py,simplifiable-if-expression,e37b8d48a61f17c6020e52350350ec1b855fb4da,added,0,1,plugin.video.pseudotv.live/resources/lib/jsonrpc.py
PseudoTV/PseudoTV_Live,plugin.video.pseudotv.live/resources/lib/jsonrpc.py,simplifiable-if-expression,48f2d7744fe2c1300ce2f6f004b103304606f4f2,removed,1,0,plugin.video.pseudotv.live/resources/lib/jsonrpc.py
merenlab/anvio,anvio/contigops.py,simplifiable-if-expression,9df5ab5bf3aa8259701c63ce63ce32aff7a808e1,added,0,1,anvio/contigops.py
merenlab/anvio,anvio/contigops.py,simplifiable-if-expression,a29904ecabb4696f7213506b725872cd1f756c1a,removed,1,0,anvio/contigops.py
DStauffman/dstauffman,dstauffman/estimation/batch.py,simplifiable-if-expression,5344f6ed74637d17ef9a9bdd74410eca671cb376,removed,1,0,dstauffman/estimation/batch.py
OstapHEP/ostap,ostap/logger/utils.py,simplifiable-if-expression,518257231cd0bf2857bdf432d9208f44a3af853a,removed,1,0,ostap/logger/utils.py
jeanslack/Videomass,videomass/vdms_dialogs/filter_stab.py,simplifiable-if-expression,4cfc7d7add47d7217f4825e2cb806d064ff6d176,removed,1,0,videomass/vdms_dialogs/filter_stab.py
pauliacomi/pyGAPS,src/pygaps/parsing/excel.py,simplifiable-if-expression,1ba888db4650a3cf264b5af79751ae57f1f22993,added,0,1,src/pygaps/parsing/excel.py
pauliacomi/pyGAPS,src/pygaps/parsing/excel.py,simplifiable-if-expression,25a8eafc64d6cb355f423d808e4489cc7caf056a,removed,1,0,src/pygaps/parsing/excel.py
Samsung/TizenRT,os/tools/mkbinheader.py,simplifiable-if-expression,7375069fac9f7cccc12dbaeaa556936c43dcc6a2,added,0,1,os/tools/mkbinheader.py
Samsung/TizenRT,os/tools/mkbinheader.py,simplifiable-if-expression,b6d60c4977546399d0706aab609e014beb1b91b2,removed,1,0,os/tools/mkbinheader.py
Samsung/TizenRT,os/tools/mkbinheader.py,simplifiable-if-expression,f2bb73fad099bb0143312b32e0e6dec4098aba51,added,0,1,os/tools/mkbinheader.py
Samsung/TizenRT,os/tools/mkbinheader.py,simplifiable-if-expression,34abcb614c4e0461c3d8ceea989c28bd94a187fb,removed,1,0,os/tools/mkbinheader.py
Samsung/TizenRT,os/tools/set_bininfo.py,simplifiable-if-expression,34abcb614c4e0461c3d8ceea989c28bd94a187fb,removed,1,0,os/tools/set_bininfo.py
hail-is/hail,hail/python/hail/stats/linear_mixed_model.py,simplifiable-if-expression,75769c4f10d85c756e936323f822304d269ada99,removed,1,0,hail/python/hail/stats/linear_mixed_model.py
google/jax,jax/experimental/pjit.py,simplifiable-if-expression,5de2cec415a21bb1515a32ffcddd80420466139d,added,0,1,jax/experimental/pjit.py
google/jax,jax/experimental/pjit.py,simplifiable-if-expression,6bb58e6fde0461c980a2a552efd1df96dad0e680,removed,1,0,jax/experimental/pjit.py
nortikin/sverchok,nodes/list_mutators/find_closest.py,simplifiable-if-expression,faf0c4495a88129e9be0343e205414f4296d655d,added,0,1,nodes/list_mutators/find_closest.py
nortikin/sverchok,nodes/list_mutators/find_closest.py,simplifiable-if-expression,8aea89c4f9831496832d83a23bcf990b33ee568d,removed,1,0,nodes/list_mutators/find_closest.py
openstack/python-openstackclient,openstackclient/image/v2/image.py,simplifiable-if-expression,3918622968073738e8fa17eec8bf5512ed609af9,added,0,1,openstackclient/image/v2/image.py
openstack/python-openstackclient,openstackclient/image/v2/image.py,simplifiable-if-expression,9eea28ba59e44526b9d6f1ad9f80c3553d5853e2,removed,1,0,openstackclient/image/v2/image.py
pauliacomi/pyGAPS,src/pygaps/parsing/csv.py,simplifiable-if-expression,1ba888db4650a3cf264b5af79751ae57f1f22993,added,0,1,src/pygaps/parsing/csv.py
pauliacomi/pyGAPS,src/pygaps/parsing/csv.py,simplifiable-if-expression,25a8eafc64d6cb355f423d808e4489cc7caf056a,removed,1,0,src/pygaps/parsing/csv.py
openatv/enigma2,lib/python/Screens/Menu.py,simplifiable-if-expression,3155d0591363c9b5b6b6625a6361c73261783ec0,added,0,1,lib/python/Screens/Menu.py
openatv/enigma2,lib/python/Screens/Menu.py,simplifiable-if-expression,8887ad79307a939c5b5c955013227c5d007e55c2,removed,1,0,lib/python/Screens/Menu.py
nortikin/sverchok,core/main_tree_handler.py,simplifiable-if-expression,060c87b0ea225b949f099c795391a7730e6fcfaf,added,0,1,core/main_tree_handler.py
nortikin/sverchok,core/main_tree_handler.py,simplifiable-if-expression,db9529bdf62cd9874d8124dab604759003b10bc4,removed,1,0,core/main_tree_handler.py
frappe/erpnext,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,simplifiable-if-expression,560f822dbf82ada8616d08abef635e20548a3e86,added,0,1,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py
frappe/erpnext,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,simplifiable-if-expression,35d4829383e278809bc64784b5d8a558db2ac61f,removed,1,0,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py
frappe/erpnext,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,simplifiable-if-expression,9cc7c294e78b2580351b7e033bb6506143d3c263,added,0,1,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py
frappe/erpnext,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,simplifiable-if-expression,deca1aaf063a3a13404ddc7639e14a0a7bf55ff8,removed,1,0,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py
ccxt/ccxt,python/ccxt/digifinex.py,simplifiable-if-expression,969fe3c1fc5fc1bcb0df3857ecefd9acf0441825,added,0,1,python/ccxt/digifinex.py
ccxt/ccxt,python/ccxt/digifinex.py,simplifiable-if-expression,f868f5bbfbe1a50b08eb93438a1352e5788aa7eb,removed,1,0,python/ccxt/digifinex.py
ccxt/ccxt,python/ccxt/digifinex.py,simplifiable-if-expression,fc76452ba9577ac3861262640abbbf13476b0bdb,added,0,1,python/ccxt/digifinex.py
ccxt/ccxt,python/ccxt/digifinex.py,simplifiable-if-expression,15da91c9608849afe4e3df9289fd92ea9f52b85a,increase,1,2,python/ccxt/digifinex.py
jjjake/internetarchive,internetarchive/item.py,simplifiable-if-expression,e09f847e2e0146af57351f3b05ac3d721796d0f0,added,0,1,internetarchive/item.py
jjjake/internetarchive,internetarchive/item.py,simplifiable-if-expression,05f4378c977247c264ffab6fe213511717d83053,removed,1,0,internetarchive/item.py
