file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,fetchConsensus,27
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,addPairsInfo,17
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,basesToConsensus,13
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,compareCorrespondences,13
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion.resolve,12
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,consensusFromBAM,10
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,getPairs,7
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,pileupCorrespondences,7
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion,4
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion.__str__,2
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,debug,1
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,ConsensusError,1
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion.__init__,1
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion.start,1
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion.readCount,1
c:/src/pylint-intervention/data/in_the_wild\versions/dark-matter/e20d18eb697c3158e9a6194c77b6ce11c8c72982/before/dark_slash_consensus.py,Insertion.append,1
